id,p,team
345821,Danushka Gunathilaka,1
48472,Tillakaratne Dilshan,1
629074,Kusal Mendis,1
300628,Dinesh Chandimal,1
49764,Angelo Mathews,1
465793,Dhananjaya de Silva,1
300631,Kusal Perera,1
233514,Thisara Perera,1
268740,Seekkuge Prasanna,1
49920,Dilruwan Perera,1
429748,Amila Aponso,1
219889,David Warner,2
5334,Aaron Finch,2
6683,Shaun Marsh,2
4451,George Bailey,2
530011,Travis Head,2
230193,Matthew Wade,2
270484,James Faulkner,2
228622,John Hastings,2
311592,Mitchell Starc,2
379504,Adam Zampa,2
288284,Josh Hazlewood,2
