id,p,team
219889,David Warner,1
5334,Aaron Finch,1
267192,Steven Smith,1
4451,George Bailey,1
272450,Mitchell Marsh,1
530011,Travis Head,1
230193,Matthew Wade,1
228622,John Hastings,1
379504,Adam Zampa,1
553800,Chris Tremain,1
557298,Daniel Worrall,1
379143,Quinton de Kock,2
43906,Hashim Amla,2
44828,Faf du Plessis,2
318845,Rilee Rossouw,2
44932,Jean-Paul Duminy,2
321777,David Miller,2
327830,Dwaine Pretorius,2
540316,Andile Phehlukwayo,2
47492,Dale Steyn,2
550215,Kagiso Rabada,2
40618,Imran Tahir,2
