id,p,team
219889,David Warner,1
530011,Travis Head,1
267192,Steven Smith,1
326637,Chris Lynn,1
272450,Mitchell Marsh,1
325026,Glenn Maxwell,1
230193,Matthew Wade,1
270484,James Faulkner,1
489889,Pat Cummins,1
311592,Mitchell Starc,1
533042,Billy Stanlake,1
39037,Azhar Ali,2
227762,Sharjeel Khan,2
41434,Mohammad Hafeez,2
348144,Babar Azam,2
317273,Umar Akmal,2
323389,Mohammad Rizwan,2
227758,Imad Wasim,2
348148,Mohammad Nawaz,2
290948,Mohammad Amir,2
43590,Wahab Riaz,2
681305,Hasan Ali,2
