id,p,team
429754,Niroshan Dickwella,1
345821,Danushka Gunathilaka,1
629074,Kusal Mendis,1
50747,Upul Tharanga,1
49764,Angelo Mathews,1
222354,Milinda Siriwardana,1
209457,Chamara Kapugedera,1
574178,Akila Dananjaya,1
552152,Dushmantha Chameera,1
465783,Vishwa Fernando,1
49758,Lasith Malinga,1
34102,Rohit Sharma,2
28235,Shikhar Dhawan,2
422108,Lokesh Rahul,2
290716,Kedar Jadhav,2
253802,Virat Kohli,2
28081,MS Dhoni,2
625371,Hardik Pandya,2
554691,Axar Patel,2
326016,Bhuvneshwar Kumar,2
625383,Jasprit Bumrah,2
430246,Yuzvendra Chahal,2
